XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
283025.34937573,2328750.44034930,1,2,1,1151.59961408013
283041.56393908,2329890.77509660,2,1,1,1151.59961408013
283041.56393908,2329890.77509660,2,4,2,969.555455136745
283041.56393908,2329890.77509660,2,5,4,686.054296554812
282258.51888111,2330450.08431592,4,2,2,969.555455136745
282258.51888111,2330450.08431592,4,5,3,891.126225102683
282258.51888111,2330450.08431592,4,10,5,3573.99891403877
282258.51888111,2330450.08431592,4,114,57,2636.72615999506
283136.17664843,2330551.21827265,5,4,3,891.126225102683
283136.17664843,2330551.21827265,5,2,4,686.054296554812
283136.17664843,2330551.21827265,5,45,24,1806.82363689735
283136.17664843,2330551.21827265,5,439,220,5557.66047270122
278982.48151766,2330263.67207160,10,4,5,3573.99891403877
279605.50585349,2331282.58432157,11,12,6,412.621294559887
279624.62258916,2331694.76253926,12,11,6,412.621294559887
279624.62258916,2331694.76253926,12,13,7,154.984220116225
279624.62258916,2331694.76253926,12,16,9,145.898968530804
279624.62258916,2331694.76253926,12,56,28,438.158857885611
279779.25569415,2331684.41989956,13,12,7,154.984220116225
279464.83394036,2331439.13156143,15,16,8,262.484793914321
279478.86721045,2331701.23390653,16,15,8,262.484793914321
279478.86721045,2331701.23390653,16,12,9,145.898968530804
279478.86721045,2331701.23390653,16,20,10,87.528891157347
279478.86721045,2331701.23390653,16,58,29,438.074030530532
279391.42430834,2331705.11277981,20,16,10,87.528891157347
283051.22871508,2331676.13073361,21,22,11,263.521685920282
283289.36142733,2331730.08973288,22,21,11,263.521685920282
283289.36142733,2331730.08973288,22,23,12,80.452287851331
283289.36142733,2331730.08973288,22,28,15,198.990990380754
283298.47026918,2331650.15476168,23,22,12,80.452287851331
282175.78222023,2331508.00862409,25,26,13,223.404016940956
282156.38371580,2331730.56884697,26,25,13,223.404016940956
282156.38371580,2331730.56884697,26,37,20,576.414436357599
282156.38371580,2331730.56884697,26,41,22,329.018240916401
283016.30239155,2331904.42979831,27,28,14,251.653259551204
283266.84792584,2331927.80305186,28,27,14,251.653259551204
283266.84792584,2331927.80305186,28,22,15,198.990990380754
283266.84792584,2331927.80305186,28,32,16,249.065492172864
283266.84792584,2331927.80305186,28,109,56,295.864992703422
283514.51097819,2331954.19683700,32,28,16,249.065492172864
283514.51097819,2331954.19683700,32,34,17,188.507035948048
283514.51097819,2331954.19683700,32,123,63,296.524689807582
283701.95672429,2331974.17169299,34,32,17,188.507035948048
276387.34642298,2331892.18059495,35,36,18,1282.5196344274
277646.82645155,2332018.69756581,36,35,18,1282.5196344274
277646.82645155,2332018.69756581,36,52,26,414.201286325011
277646.82645155,2332018.69756581,36,70,35,159.066179709711
281847.85382199,2332028.41580179,37,38,19,117.828108798926
281847.85382199,2332028.41580179,37,26,20,576.414436357599
281847.85382199,2332028.41580179,37,41,21,279.47003371943
281847.85382199,2332028.41580179,37,234,118,395.960406857632
281730.78970143,2332015.01972399,38,37,19,117.828108798926
282125.73930725,2332058.13375642,41,37,21,279.47003371943
282125.73930725,2332058.13375642,41,26,22,329.018240916401
282125.73930725,2332058.13375642,41,45,23,331.090185640877
282125.73930725,2332058.13375642,41,284,143,397.959785888939
282442.60635303,2332076.26882886,45,41,23,331.090185640877
282442.60635303,2332076.26882886,45,5,24,1806.82363689735
282442.60635303,2332076.26882886,45,320,161,423.062550678503
279358.90615518,2331524.81317543,49,50,25,573.381899002628
279235.33545268,2332084.71985818,50,49,25,573.381899002628
279235.33545268,2332084.71985818,50,54,27,208.727113043776
279235.33545268,2332084.71985818,50,186,94,285.454461373356
278051.24359325,2332108.05956722,52,36,26,414.201286325011
278051.24359325,2332108.05956722,52,122,61,598.895187084049
278051.24359325,2332108.05956722,52,154,78,245.467956314805
279434.89464457,2332121.41892425,54,50,27,208.727113043776
279434.89464457,2332121.41892425,54,58,31,68.7627850373487
279434.89464457,2332121.41892425,54,65,34,51.9503433433263
279644.51615626,2332132.46947943,56,12,28,438.158857885611
279644.51615626,2332132.46947943,56,58,30,146.061776313258
279644.51615626,2332132.46947943,56,158,79,645.161592380371
279498.63876417,2332138.85409833,58,16,29,438.074030530532
279498.63876417,2332138.85409833,58,56,30,146.061776313258
279498.63876417,2332138.85409833,58,54,31,68.7627850373487
282708.64057964,2331914.55836256,63,64,32,249.463513512224
282682.09725557,2332162.60573006,64,63,32,249.463513512224
282682.09725557,2332162.60573006,64,83,42,274.368570224411
282682.09725557,2332162.60573006,64,340,171,358.839056037402
279415.45771812,2332169.06804978,65,66,33,66.6120732755493
279415.45771812,2332169.06804978,65,54,34,51.9503433433263
279415.45771812,2332169.06804978,65,95,48,117.370002688702
279415.45771812,2332169.06804978,65,116,58,66.1527158052163
279352.16799751,2332148.29355652,66,65,33,66.6120732755493
277616.97247449,2332174.93709212,70,36,35,159.066179709711
277616.97247449,2332174.93709212,70,72,36,23.0064355008553
277616.97247449,2332174.93709212,70,168,84,168.45847492212
277639.47900763,2332179.70700200,72,70,36,23.0064355008553
277639.47900763,2332179.70700200,72,73,37,75.4773154153566
277639.47900763,2332179.70700200,72,76,38,31.678728367319
277639.47900763,2332179.70700200,72,170,86,168.14894529594
277652.50249157,2332105.36176672,73,72,37,75.4773154153566
277670.61704392,2332185.53491134,76,72,38,31.678728367319
277670.61704392,2332185.53491134,76,78,39,74.1392686266332
277670.61704392,2332185.53491134,76,80,40,31.3615521879328
277670.61704392,2332185.53491134,76,174,88,168.496568149209
277684.38840154,2332112.68588347,78,76,39,74.1392686266332
277701.50056342,2332190.98974209,80,76,40,31.3615521879328
277701.50056342,2332190.98974209,80,82,41,84.2174096885078
277701.50056342,2332190.98974209,80,88,44,31.9531256924656
277701.50056342,2332190.98974209,80,178,90,169.20519222298
277717.78094826,2332108.36092651,82,80,41,84.2174096885078
282954.95468431,2332191.36222338,83,64,42,274.368570224411
